ORDERTYPE,CUSTOMER,ITEMCODE,ORDERDATE,ORDERNO,OREDEREDQUANTITY,DELIVERYDATE,INVOICENO,DELIVEREDQUANTITY
ES1,C00335,IT0001033,26-Oct-14,256476,130,26-Oct-14,21305592,130
ES1,C00335,IT0001159,26-Oct-14,256476,24,26-Oct-14,21305592,24
ES1,C00301,IT0001494,7-Nov-14,256556,16,18-Nov-14,21306100,16
ES1,C00311,IT0001371,11-Nov-14,256579,47,13-Nov-14,21305964,47
ES3,C00277,IT0001076,18-Nov-14,256616,900,18-Nov-14,21306098,500
ES3,C00277,IT0001076,18-Nov-14,256616,900,24-Nov-14,21306239,400
ES3,C00196,IT0001012,20-Nov-14,256639,1000,23-Nov-14,21306216,1000
ES3,C00283,IT0001020,9-Dec-14,256745,160,11-Dec-14,21306630,160
ES3,C00195,IT0001494,16-Jan-14,219845,15,19-Jan-14,21300248,15
ES1,C00252,IT0001084,9-Jan-14,219848,300,12-Jan-14,21300131,300
ES1,C00256,IT0001197,21-Jan-14,219865,100,6-Feb-14,21300557,100
ES1,C00152,IT0001471,28-Jan-14,219868,10,16-Feb-14,21300721,10
ES1,C00152,IT0001494,28-Jan-14,219868,20,16-Feb-14,21300721,20
ES1,C00252,IT0001130,10-Feb-14,219885,50,31-Mar-14,21301560,30
ES3,C00313,IT0001012,2-Jul-14,255861,1000,30-Jul-14,21303977,250
ES3,C00313,IT0001012,2-Jul-14,255861,1000,5-Aug-14,21304058,250
ES3,C00313,IT0001012,2-Jul-14,255861,1000,18-Aug-14,21304269,250
ES3,C00313,IT0001162,9-Dec-14,256748,56,16-Dec-14,21306789,56
ES1,C00335,IT0001494,11-Dec-14,256768,15,14-Dec-14,21306723,15
ES1,C00301,IT0001040,14-Dec-14,256788,72,15-Dec-14,21306756,72
ES3,C00128,IT0001012,18-Dec-14,256825,250,22-Dec-14,21306941,250
ES3,C00196,IT0001012,22-Dec-14,256848,1000,23-Dec-14,21306945,750
ES1,C00256,IT0001203,29-Apr-14,290001,150,11-May-14,21302287,150
ES1,C00245,IT0001452,14-May-14,290021,13,21-May-14,21302532,5
ES1,C00245,IT0001452,14-May-14,290021,13,4-Jun-14,21302809,8
ES1,C00237,IT0001096,18-May-14,290024,500,19-May-14,21302466,160
ES1,C00237,IT0001096,18-May-14,290024,500,21-May-14,21302531,340
ES1,C00237,IT0001030,18-May-14,290024,50,19-May-14,21302466,50
ES1,C00367,IT0001488,24-Jul-14,290101,8,3-Sep-14,21304513,8
ES1,C00284,IT0001139,31-Aug-14,290104,254,10-Sep-14,21304650,254
ES1,C00210,IT0001076,11-Aug-14,290107,425,11-Aug-14,21304132,425
ES1,C00173,IT0001070,12-Aug-14,290124,200,24-Aug-14,21304332,200
ES3,C00315,IT0001020,18-Sep-14,256264,160,25-Sep-14,21304992,160
ES1,C00143,IT0001461,22-Sep-14,256287,5,22-Sep-14,21304900,5
ES3,C00313,IT0001012,21-Sep-14,256290,250,26-Sep-14,21305037,250
ES3,C00311,IT0001151,1-Oct-14,256327,80,3-Oct-14,21305149,80
ES1,C00301,IT0001151,5-Oct-14,256373,216,6-Oct-14,21305224,216
ES1,C00110,IT0001494,18-Sep-14,256270,5,23-Sep-14,21304935,5
ES1,C00277,IT0001076,24-Sep-14,256316,1250,1-Oct-14,21305126,1000
ES1,C00277,IT0001076,24-Sep-14,256316,1250,3-Nov-14,21305721,250
ES1,C00219,IT0001494,28-Sep-14,256333,20,7-Dec-14,21306499,20
ES3,C00277,IT0001088,1-Oct-14,256336,700,8-Oct-14,21305263,480
ES3,C00277,IT0001088,1-Oct-14,256336,700,10-Oct-14,21305325,220
ES1,C00312,IT0001488,8-Oct-14,256396,10,19-Oct-14,21305450,10
ES1,C00301,IT0001012,19-Oct-14,256442,1250,22-Oct-14,21305529,500
ES1,C00301,IT0001012,19-Oct-14,256442,1250,24-Oct-14,21305564,250
ES1,C00301,IT0001012,19-Oct-14,256442,1250,3-Nov-14,21305723,500
ES1,C00301,IT0001068,19-Oct-14,256442,72,16-Nov-14,21306038,72
ES3,C00342,IT0001088,24-Oct-14,256462,160,26-Oct-14,21305567,160
ES3,C00128,IT0001076,28-Oct-14,256499,500,28-Oct-14,21305638,500
ES1,C00301,IT0001151,29-Oct-14,256502,120,16-Nov-14,21306040,64
ES1,C00301,IT0001151,29-Oct-14,256502,120,21-Nov-14,21306178,56
ES1,C00301,IT0001020,29-Oct-14,256502,320,3-Nov-14,21305724,160
ES1,C00301,IT0001020,29-Oct-14,256502,320,26-Nov-14,21306324,160
ES3,C00193,IT0001101,19-Nov-14,256522,10,14-Dec-14,21306697,10
ES1,C00246,IT0001162,9-Nov-14,256545,40,13-Nov-14,21305977,40
ES1,C00312,IT0001088,7-Nov-14,256548,160,7-Nov-14,21305836,160
ES3,C00128,IT0001033,11-Nov-14,256582,650,14-Nov-14,21306011,260
ES1,C00222,IT0001264,19-Nov-14,256605,2004,11-Dec-14,21306629,2004
ES3,C00311,IT0001020,16-Nov-14,256608,160,17-Nov-14,21306045,160
ES3,C00313,IT0001012,17-Nov-14,256628,2500,20-Nov-14,21306157,750
ES3,C00313,IT0001012,17-Nov-14,256628,2500,24-Nov-14,21306248,250
ES3,C00313,IT0001012,17-Nov-14,256628,2500,28-Nov-14,21306351,750
ES3,C00313,IT0001012,17-Nov-14,256628,2500,2-Dec-14,21306419,500
ES3,C00313,IT0001012,17-Nov-14,256628,2500,5-Dec-14,21306513,250
ES1,C00110,IT0001151,20-Nov-14,256648,104,26-Nov-14,21306276,104
ES1,C00143,IT0001415,3-Jun-14,255672,15,3-Jun-14,21302822,15
ES1,C00143,IT0001060,12-Jun-14,255732,4,15-Jun-14,21303022,4
ES1,C00301,IT0001020,18-Jun-14,255778,320,19-Jun-14,21303192,160
ES1,C00301,IT0001020,18-Jun-14,255778,320,22-Jun-14,21303246,160
ES3,C00315,IT0001124,23-Jun-14,255792,24,24-Jun-14,21303294,24
ES1,C00312,IT0001076,25-Jun-14,255815,250,26-Jun-14,21303339,250
ES1,C00257,IT0001088,29-Jun-14,255835,320,6-Jul-14,21303555,320
ES1,C00257,IT0001159,29-Jun-14,255835,64,6-Jul-14,21303555,64
ES3,C00240,IT0001376,2-Jul-14,255858,15,8-Jul-14,21303573,15
ES3,C00240,IT0001367,2-Jul-14,255858,15,8-Jul-14,21303573,15
ES3,C00313,IT0001012,2-Jul-14,255861,1000,9-Jul-14,21303622,250
ES3,C00351,IT0001273,12-Mar-14,255220,250,4-Apr-14,21301630,56
ES3,C00351,IT0001273,12-Mar-14,255220,250,7-Apr-14,21301679,194
ES1,C00340,IT0001012,18-Mar-14,255237,250,20-Apr-14,21301915,250
ES1,C00246,IT0001076,18-Mar-14,255243,1500,18-Mar-14,21301297,500
ES1,C00246,IT0001076,18-Mar-14,255243,1500,23-Mar-14,21301379,500
ES1,C00246,IT0001076,18-Mar-14,255243,1500,25-Mar-14,21301421,500
ES3,C00113,IT0001088,22-Apr-14,255429,800,5-May-14,21302211,480
ES3,C00113,IT0001088,22-Apr-14,255429,800,19-May-14,21302493,320
ES1,C00301,IT0001012,25-Apr-14,255452,500,5-May-14,21302219,500
ES1,C00101,IT0001076,5-May-14,255509,250,6-May-14,21302244,250
ES1,C00101,IT0001113,5-May-14,255509,72,6-May-14,21302244,72
ES1,C00140,IT0001012,9-May-14,255532,3000,13-May-14,21302347,250
ES1,C00140,IT0001012,9-May-14,255532,3000,13-May-14,21302363,750
ES1,C00140,IT0001012,9-May-14,255532,3000,15-May-14,21302392,750
ES1,C00140,IT0001012,9-May-14,255532,3000,16-May-14,21302422,1250
ES1,C00140,IT0001151,9-May-14,255532,200,5-Jun-14,21302842,200
ES1,C00283,IT0001124,11-May-14,255535,96,12-May-14,21302333,96
ES1,C00110,IT0001151,23-May-14,255615,128,29-May-14,21302699,128
ES3,C00283,IT0001020,25-May-14,255618,480,27-May-14,21302656,480
ES3,C00315,IT0001020,27-May-14,255638,640,29-May-14,21302714,640
ES3,C00315,IT0001151,27-May-14,255638,64,29-May-14,21302714,16
ES3,C00315,IT0001151,27-May-14,255638,64,10-Jun-14,21302929,48
ES1,C00283,IT0001488,3-Jun-14,255675,13,9-Jun-14,21302900,13
ES3,C00238,IT0001033,5-Jun-14,255698,130,30-Jul-14,21303969,130
ES3,C00311,IT0001162,10-Jun-14,255718,80,12-Jun-14,21302980,80
ES1,C00354,IT0001040,12-Jun-14,255741,72,13-Jun-14,21303014,72
ES1,C00126,IT0001076,24-Jun-14,255801,250,25-Jun-14,21303313,250
ES1,C00301,IT0001012,27-Jun-14,255827,4000,29-Jun-14,21303422,250
ES1,C00301,IT0001012,27-Jun-14,255827,4000,1-Jul-14,21303453,750
ES1,C00301,IT0001012,27-Jun-14,255827,4000,3-Jul-14,21303472,250
ES1,C00301,IT0001012,27-Jun-14,255827,4000,4-Jul-14,21303526,750
ES1,C00301,IT0001012,27-Jun-14,255827,4000,7-Jul-14,21303575,500
ES1,C00301,IT0001012,27-Jun-14,255827,4000,9-Jul-14,21303617,500
ES1,C00301,IT0001012,27-Jun-14,255827,4000,18-Jul-14,21303764,500
ES1,C00301,IT0001012,27-Jun-14,255827,4000,4-Aug-14,21304039,250
ES3,C00315,IT0001151,20-Jan-14,254911,200,21-Jan-14,21300307,200
ES3,C00311,IT0001020,21-Jan-14,254928,160,26-Jan-14,21300368,160
ES3,C00113,IT0001162,28-Jan-14,254948,96,12-Feb-14,21300684,48
ES3,C00113,IT0001162,28-Jan-14,254948,96,13-Mar-14,21301204,48
ES3,C00113,IT0001012,28-Jan-14,254948,1500,12-Mar-14,21301177,500
ES3,C00113,IT0001012,28-Jan-14,254948,1500,27-Mar-14,21301461,1000
ES1,C00283,IT0001130,2-Feb-14,254988,8,13-Feb-14,21300689,8
ES1,C00257,IT0001415,7-Feb-14,255031,8,12-Feb-14,21300672,8
ES3,C00314,IT0001076,11-Feb-14,255051,500,14-Feb-14,21300736,250
ES3,C00314,IT0001076,11-Feb-14,255051,500,25-Feb-14,21300928,250
ES3,C00314,IT0001108,11-Feb-14,255051,130,12-Mar-14,21301186,130
ES3,C00313,IT0001088,30-Mar-14,255323,160,30-Mar-14,21301545,160
ES1,C00300,IT0001088,2-Apr-14,255326,320,2-Apr-14,21301605,320
ES3,C00335,IT0001471,7-Apr-14,255363,15,15-Apr-14,21301831,15
ES3,C00335,IT0001151,7-Apr-14,255363,64,21-Apr-14,21301941,64
ES3,C00128,IT0001012,10-Apr-14,255383,750,11-Apr-14,21301769,750
ES1,C00301,IT0001159,14-Apr-14,255389,80,15-Apr-14,21301824,80
ES1,C00301,IT0001481,14-Apr-14,255389,3,24-Apr-14,21301995,3
ES1,C00313,IT0001016,17-Apr-14,255406,2,18-Apr-14,21301892,2
ES1,C00172,IT0001415,13-Nov-14,256594,2,1-Dec-14,21306378,2
ES1,C00238,IT0001040,17-Nov-14,256617,216,19-Nov-14,21306125,72
ES1,C00238,IT0001040,17-Nov-14,256617,216,21-Nov-14,21306174,72
ES1,C00238,IT0001040,17-Nov-14,256617,216,5-Dec-14,21306502,72
ES1,C00280,IT0001068,21-Nov-14,256654,72,23-Nov-14,21306218,72
ES1,C00301,IT0001040,24-Nov-14,256674,72,26-Nov-14,21306327,72
ES1,C00126,IT0001076,25-Nov-14,256677,500,27-Nov-14,21306310,500
ES3,C00277,IT0001076,1-Dec-14,256700,600,8-Dec-14,21306551,600
ES1,C00301,IT0001012,27-Jun-14,255827,4000,5-Aug-14,21304052,250
ES1,C00301,IT0001088,27-Jun-14,255827,480,29-Jun-14,21303422,320
ES1,C00301,IT0001088,27-Jun-14,255827,480,9-Jul-14,21303617,160
ES1,C00301,IT0001151,27-Jun-14,255827,120,1-Jul-14,21303453,64
ES1,C00301,IT0001151,27-Jun-14,255827,120,3-Jul-14,21303472,56
ES3,C00159,IT0001088,29-Jun-14,255841,320,29-Jun-14,21303410,320
ES3,C00115,IT0001033,1-Jul-14,255847,260,1-Jul-14,21303443,260
ES3,C00301,IT0001415,6-Jul-14,255884,5,7-Jul-14,21303577,5
ES3,C00238,IT0001012,9-Jul-14,255904,1500,9-Jul-14,21303616,1000
ES3,C00238,IT0001012,9-Jul-14,255904,1500,16-Jul-14,21303724,250
ES3,C00238,IT0001012,9-Jul-14,255904,1500,3-Aug-14,21304019,250
ES1,C00301,IT0001162,16-Jul-14,255930,40,18-Jul-14,21303766,40
ES3,C00246,IT0001068,24-Jul-14,255967,72,27-Jul-14,21303913,72
ES3,C00115,IT0001068,15-Aug-14,255990,360,17-Aug-14,21304235,144
ES3,C00115,IT0001068,15-Aug-14,255990,360,21-Aug-14,21304322,72
ES3,C00115,IT0001068,15-Aug-14,255990,360,5-Oct-14,21305197,144
ES1,C00312,IT0001088,3-Aug-14,256013,160,7-Aug-14,21304097,160
ES1,C00283,IT0001151,12-Aug-14,256056,192,15-Aug-14,21304208,192
ES1,C00283,IT0001471,12-Aug-14,256056,15,15-Aug-14,21304208,15
ES1,C00283,IT0001488,12-Aug-14,256056,4,15-Aug-14,21304208,4
ES1,C00172,IT0001433,19-Aug-14,256093,3,21-Aug-14,21304302,3
ES1,C00257,IT0001020,24-Aug-14,256116,160,25-Aug-14,21304379,160
ES1,C00257,IT0001124,24-Aug-14,256116,24,25-Aug-14,21304379,24
ES1,C00257,IT0001415,24-Aug-14,256116,10,25-Aug-14,21304379,10
ES1,C00186,IT0001471,28-Aug-14,256136,13,1-Sep-14,21304503,13
ES1,C00334,IT0001170,28-Aug-14,256139,24,9-Sep-14,21304644,24
ES3,C00316,IT0001012,3-Sep-14,256176,250,4-Sep-14,21304567,250
ES1,C00240,IT0001020,8-Sep-14,256196,320,11-Sep-14,21304702,320
ES1,C00246,IT0001088,9-Sep-14,256202,160,12-Sep-14,21304733,160
ES1,C00110,IT0001020,12-Sep-14,256222,320,14-Sep-14,21304726,320
ES1,C00283,IT0001020,15-Sep-14,256242,160,17-Sep-14,21304806,160
ES1,C00283,IT0001476,21-Sep-14,256279,17,22-Sep-14,21304907,17
ES1,C00277,IT0001151,21-Sep-14,256285,40,24-Sep-14,21304987,40
ES1,C00313,IT0001494,29-Dec-14,256886,150,29-Dec-14,21307109,99
ES1,C00317,IT0001309,7-Apr-14,280195,370,20-Apr-14,21301944,370
ES1,C00301,IT0001307,14-Aug-14,280252,77,17-Aug-14,21304249,77
ES1,C00283,IT0001307,12-Nov-14,280278,1000,20-Nov-14,21306118,1000
ES1,C00116,IT0001107,11-May-14,290016,40,19-May-14,21302469,40
ES1,C00156,IT0001159,28-May-14,290036,200,18-Jun-14,21303169,200
ES1,C00156,IT0001096,3-Jun-14,290039,480,11-Jun-14,21302945,480
ES1,C00256,IT0001197,4-Aug-14,290119,300,28-Aug-14,21304409,300
ES1,C00256,IT0001406,4-Aug-14,290119,5,28-Aug-14,21304409,5
ES1,C00256,IT0001433,4-Aug-14,290119,27,28-Aug-14,21304409,27
ES1,C00237,IT0001494,9-Sep-14,290159,100,15-Sep-14,21304745,100
ESR,C00152,IT0001096,23-Sep-14,290179,-50,24-Sep-14,21300048,-50
ES1,C00105,IT0001506,25-Sep-14,290185,50,9-Oct-14,21305247,50
ES1,C00198,IT0001433,5-Oct-14,290199,98,10-Oct-14,21305270,98
ES1,C00247,IT0001096,8-Oct-14,290202,110,9-Oct-14,21305252,110
ES1,C00266,IT0001414,27-Oct-14,290222,12,5-Nov-14,21305729,12
ES1,C00266,IT0001159,27-Oct-14,290222,20,5-Nov-14,21305729,20
ES1,C00290,IT0001471,28-Oct-14,290225,7,7-Nov-14,21305794,7
ES1,C00290,IT0001406,28-Oct-14,290225,4,7-Nov-14,21305794,4
ES1,C00301,IT0001020,2-Oct-14,256362,800,3-Oct-14,21305173,480
ES1,C00301,IT0001020,2-Oct-14,256362,800,19-Oct-14,21305437,320
ES3,C00315,IT0001499,6-Oct-14,256382,40,10-Oct-14,21305326,40
ES1,C00151,IT0001259,17-Oct-14,256385,5000,20-Oct-14,21305442,5000
ES1,C00257,IT0001488,12-Oct-14,256408,10,13-Oct-14,21305361,10
ES3,C00205,IT0001476,22-Oct-14,256465,50,24-Oct-14,21305568,50
ES3,C00265,IT0001197,23-Oct-14,256468,300,20-Nov-14,21306127,300
ES1,C00238,IT0001088,27-Oct-14,256488,320,27-Oct-14,21305612,320
ES3,C00115,IT0001040,11-Nov-14,256511,72,17-Nov-14,21306028,72
ES3,C00115,IT0001068,11-Nov-14,256511,144,11-Nov-14,21305871,72
ES3,C00115,IT0001068,11-Nov-14,256511,144,17-Nov-14,21306028,72
ES3,C00115,IT0001076,25-Nov-14,256551,500,16-Dec-14,21306776,250
ES3,C00115,IT0001088,25-Nov-14,256551,1120,10-Dec-14,21306574,320
ES3,C00115,IT0001151,25-Nov-14,256551,200,12-Dec-14,21306633,200
ES1,C00301,IT0001151,7-Nov-14,256554,40,21-Nov-14,21306179,40
ES1,C00257,IT0001020,11-Dec-14,256760,160,14-Dec-14,21306680,160
ES3,C00315,IT0001471,12-Dec-14,256783,63,15-Dec-14,21306768,63
ES3,C00238,IT0001088,16-Jul-14,255929,3200,20-Jul-14,21303760,1280
ES3,C00238,IT0001088,16-Jul-14,255929,3200,24-Aug-14,21304358,320
ES3,C00238,IT0001088,16-Jul-14,255929,3200,27-Aug-14,21304421,320
ES3,C00238,IT0001088,16-Jul-14,255929,3200,5-Sep-14,21304598,320
ES3,C00238,IT0001088,16-Jul-14,255929,3200,10-Sep-14,21304687,320
ES3,C00238,IT0001088,16-Jul-14,255929,3200,18-Sep-14,21304840,160
ES3,C00238,IT0001088,16-Jul-14,255929,3200,22-Sep-14,21304937,320
ES3,C00238,IT0001088,16-Jul-14,255929,3200,26-Sep-14,21305030,160
ES1,C00283,IT0001488,17-Jul-14,255932,20,21-Jul-14,21303790,20
ES1,C00216,IT0001113,25-Jul-14,255972,72,27-Jul-14,21303910,72
ES3,C00246,IT0001076,27-Jul-14,255975,250,27-Jul-14,21303915,250
ES1,C00238,IT0001159,28-Jul-14,255978,40,6-Aug-14,21304082,40
ES3,C00315,IT0001020,31-Jul-14,255995,320,31-Jul-14,21303989,320
ES3,C00315,IT0001040,31-Jul-14,255995,72,3-Aug-14,21304009,72
ES3,C00158,IT0001076,31-Jul-14,255998,525,26-Aug-14,21304389,525
ES3,C00158,IT0001113,31-Jul-14,255998,20,26-Aug-14,21304389,20
ES1,C00246,IT0001076,12-Aug-14,256055,250,17-Aug-14,21304238,250
ES3,C00354,IT0001076,18-Aug-14,256078,250,19-Aug-14,21304292,250
ES3,C00354,IT0001020,18-Aug-14,256078,640,19-Aug-14,21304292,320
ES3,C00354,IT0001020,18-Aug-14,256078,640,20-Aug-14,21304314,320
ES3,C00313,IT0001040,21-Aug-14,256101,72,21-Aug-14,21304327,72
ES1,C00280,IT0001151,25-Aug-14,256118,16,26-Aug-14,21304392,16
ES3,C00311,IT0001012,28-Aug-14,256138,750,31-Aug-14,21304478,500
ES3,C00311,IT0001012,28-Aug-14,256138,750,8-Sep-14,21304622,250
ES1,C00342,IT0001076,8-Sep-14,256181,250,14-Sep-14,21304742,250
ES1,C00257,IT0001371,9-Sep-14,256204,50,14-Sep-14,21304734,50
ES1,C00301,IT0001162,12-Sep-14,256224,40,16-Sep-14,21304808,40
ES1,C00252,IT0001471,14-Nov-14,290242,13,17-Nov-14,21306032,13
ES1,C00256,IT0001488,16-Nov-14,290245,27,2-Dec-14,21306369,27
ES1,C00256,IT0001203,16-Nov-14,290245,81,2-Dec-14,21306369,81
ES1,C00285,IT0001096,18-Nov-14,290248,400,7-Dec-14,21306481,400
ES1,C00285,IT0001043,18-Nov-14,290248,100,7-Dec-14,21306481,72
ES1,C00285,IT0001043,18-Nov-14,290248,100,10-Dec-14,21306575,28
ES1,C00252,IT0001016,14-Dec-14,290285,750,16-Dec-14,21306735,750
ESR,C00263,IT0001449,29-Dec-14,290305,-16,29-Dec-14,21300067,-16
ES1,C00224,IT0001484,13-Apr-14,220782,200,4-May-14,21302180,20
ES1,C00224,IT0001484,13-Apr-14,220782,200,18-May-14,21302436,133
ES1,C00224,IT0001484,13-Apr-14,220782,200,8-Jun-14,21302860,47
ES1,C00224,IT0001401,4-Jun-14,220796,200,21-Jul-14,21303778,173
ES1,C00224,IT0001401,4-Jun-14,220796,200,11-Aug-14,21304102,27
ES1,C00224,IT0001119,4-Jun-14,220796,8,30-Jun-14,21303387,8
ESR,C00225,IT0001223,30-May-14,220799,-100,1-Jun-14,21300026,-100
ES1,C00229,IT0001052,7-Aug-14,220819,120,7-Sep-14,21304585,120
ES1,C00229,IT0001093,7-Aug-14,220819,24,7-Sep-14,21304585,24
ES1,C00242,IT0001096,7-Feb-14,254782,5,9-Feb-14,21300593,5
ES3,C00238,IT0001012,6-Jan-14,254825,250,14-Jan-14,21300195,250
ES3,C00238,IT0001159,6-Jan-14,254825,40,20-Jan-14,21300291,40
ES3,C00301,IT0001415,9-Jan-14,254842,10,12-Jan-14,21300171,10
ES1,C00205,IT0001367,9-Jan-14,254845,6,14-Jan-14,21300209,6
ES1,C00315,IT0001381,19-Jan-14,254905,3,21-Jan-14,21300306,3
ES1,C00335,IT0001471,3-Dec-14,256711,10,7-Dec-14,21306519,10
ES1,C00101,IT0001139,9-Dec-14,256731,50,9-Dec-14,21306577,50
ES1,C00314,IT0001012,7-Dec-14,256734,2500,11-Dec-14,21306658,500
ES1,C00314,IT0001012,7-Dec-14,256734,2500,17-Dec-14,21306807,250
ES1,C00314,IT0001012,7-Dec-14,256734,2500,24-Dec-14,21306983,250
